,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,LATITUDE,LONGITUDE,TRAUMA
15,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",ASHLAND,AL,36251,(256) 354-2131,GENERAL ACUTE CARE,OPEN,33.2775639400001,-85.8239827799999,NOT AVAILABLE
16,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,(334) 283-6541,GENERAL ACUTE CARE,OPEN,32.53390983,-85.91224661,LEVEL III
17,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,(256) 401-4534,GENERAL ACUTE CARE,OPEN,33.1645602300001,-86.25548758,LEVEL III
18,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,(334) 335-1154,GENERAL ACUTE CARE,OPEN,31.69354407,-86.2650457,NOT AVAILABLE
19,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,HUNTSVILLE,AL,35801,(256) 429-5000,GENERAL ACUTE CARE,OPEN,34.6936114000001,-86.5721715399999,LEVEL III
20,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,MONTGOMERY,AL,36116,(334) 286-3116,PSYCHIATRIC,OPEN,32.32346327,-86.28134483,NOT AVAILABLE
21,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,(256) 737-2598,GENERAL ACUTE CARE,OPEN,34.2013272,-86.80572957,LEVEL III
22,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",BREWTON,AL,36427,(251) 867-8061,GENERAL ACUTE CARE,OPEN,31.1270339100001,-87.0734993,LEVEL III
23,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,(334) 774-2224,GENERAL ACUTE CARE,OPEN,31.4515766600001,-85.63208804,LEVEL III
24,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,(205) 759-7147,GENERAL ACUTE CARE,OPEN,33.2048205300001,-87.52741947,LEVEL III
25,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,DECATUR,AL,35601,(256) 973-2000,GENERAL ACUTE CARE,OPEN,34.59034409,-86.9714815299999,LEVEL III
26,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,DECATUR,AL,35601,(256) 973-2000,GENERAL ACUTE CARE,OPEN,34.57689679,-87.0158086599999,NOT AVAILABLE
27,DECATUR MORGAN WEST,"2205 BELTLINE ROAD SW, PO BOX 2240",DECATUR,AL,35601,(256) 973-2000,PSYCHIATRIC,OPEN,34.58368232,-87.02541659,NOT AVAILABLE
28,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",FORT PAYNE,AL,35968,(256) 845-3150,GENERAL ACUTE CARE,OPEN,34.44127984,-85.7562183699999,LEVEL III
29,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,(334) 756-9180,GENERAL ACUTE CARE,OPEN,32.8245981100001,-85.16870267,NOT AVAILABLE
30,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,(334) 749-3411,GENERAL ACUTE CARE,OPEN,32.63852487,-85.4044747899999,LEVEL III
31,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,(251) 450-5901,PSYCHIATRIC,OPEN,30.6352891500001,-87.8951390999999,NOT AVAILABLE
32,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE, PO BOX 130",WETUMPKA,AL,36092,(256) 825-7821,GENERAL ACUTE CARE,OPEN,32.5522669700001,-86.18639645,NOT AVAILABLE
33,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,(205) 868-2000,REHABILITATION,OPEN,33.46911585,-86.78833499,NOT AVAILABLE
34,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,(334) 712-6333,REHABILITATION,OPEN,31.2179119100001,-85.3658126299999,NOT AVAILABLE
35,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,GADSDEN,AL,35903,(256) 439-5000,REHABILITATION,OPEN,34.00674122,-85.96848844,NOT AVAILABLE
36,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,MONTGOMERY,AL,36116,(334) 284-7700,REHABILITATION,OPEN,32.3191069800001,-86.2807098,NOT AVAILABLE
37,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE SW,HUNTSVILLE,AL,35801,(256) 535-2300,REHABILITATION,OPEN,34.71920943,-86.57986887,NOT AVAILABLE
38,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,(205) 216-7600,REHABILITATION,OPEN,33.2832999,-86.7988099999999,NOT AVAILABLE
39,EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVENUE, PO BOX 706",EVERGREEN,AL,36401,(251) 578-0166,GENERAL ACUTE CARE,OPEN,31.43079857,-86.94048359,NOT AVAILABLE
40,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH, PO DRAWER 710",FAYETTE,AL,35555,(205) 932-5966,GENERAL ACUTE CARE,OPEN,33.70817814,-87.82468898,NOT AVAILABLE
41,FLOWERS HOSPITAL,"4370 WEST MAIN STREET, PO BOX 6907",DOTHAN,AL,36305,(334) 793-5000,GENERAL ACUTE CARE,OPEN,31.2374299900001,-85.45704246,LEVEL III
42,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,CENTRE,AL,35960,(256) 927-5531,GENERAL ACUTE CARE,OPEN,34.1614583,-85.65108878,NOT AVAILABLE
43,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,(256) 494-4000,GENERAL ACUTE CARE,OPEN,34.0077362800001,-85.9659821399999,LEVEL III
44,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,(205) 971-1000,GENERAL ACUTE CARE,OPEN,33.43293355,-86.71744146,LEVEL III
45,GREENE COUNTY HEALTH SYSTEM,509 WILSON AVENUE,EUTAW,AL,35462,(205) 372-3388,GENERAL ACUTE CARE,OPEN,32.84324894,-87.8904834799999,NOT AVAILABLE
46,GROVE HILL MEMORIAL HOSPITAL,"295 JACKSON HIGHWAY S, PO BOX 935",GROVE HILL,AL,36451,(251) 275-3191,GENERAL ACUTE CARE,OPEN,31.6943023000001,-87.7760246299999,LEVEL III
47,HALE COUNTY HOSPITAL,508 GREENE STREET,GREENSBORO,AL,36744,(334) 624-3024,GENERAL ACUTE CARE,OPEN,32.69537224,-87.58693419,NOT AVAILABLE
48,HELEN KELLER MEMORIAL HOSPITAL,"1300 SMONTGOMERY AVENUE, PO BOX 610",SHEFFIELD,AL,35660,(256) 386-4550,GENERAL ACUTE CARE,OPEN,34.7459501500001,-87.70026146,LEVEL III
49,HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD, PO BOX 1050",SCOTTSBORO,AL,35768,(256) 259-4444,GENERAL ACUTE CARE,OPEN,34.6620379300001,-86.0474907999999,LEVEL III
50,HILL CREST BEHAVIORAL HEALTH SERVICES,"6869 FIFTH AVENUE, SOUTH",BIRMINGHAM,AL,35212,(205) 833-9000,PSYCHIATRIC,OPEN,33.5488342800001,-86.7301833,NOT AVAILABLE
51,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,(205) 392-5263,GENERAL ACUTE CARE,OPEN,32.49199422,-88.29552376,NOT AVAILABLE
52,THE HUNTSVILLE HOSPITAL,101 SIVLEY ROAD,HUNTSVILLE,AL,35801,(256) 265-1000,GENERAL ACUTE CARE,OPEN,34.7214331000001,-86.5808055099999,LEVEL I
53,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,(251) 435-5822,LONG TERM CARE,OPEN,30.6969006900001,-88.08029057,NOT AVAILABLE
54,J. PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,(334) 682-4131,GENERAL ACUTE CARE,OPEN,31.9975251500001,-87.30025784,NOT AVAILABLE
55,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,(334) 732-3015,GENERAL ACUTE CARE,OPEN,32.50801426,-85.00888474,NOT AVAILABLE
56,"JACKSON HOSPITAL AND CLINIC, INC",1725 PINE STREET,MONTGOMERY,AL,36106,(334) 293-8000,GENERAL ACUTE CARE,OPEN,32.366953,-86.2853855399999,LEVEL III
57,JACKSON MEDICAL CENTER,"220 HOSPITAL DRIVE, PO BOX 428",JACKSON,AL,36545,(251) 246-9021,GENERAL ACUTE CARE,OPEN,31.53106846,-87.89513456,LEVEL III
58,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD, PO BOX 629",DADEVILLE,AL,36853,(256) 825-7821,GENERAL ACUTE CARE,OPEN,32.8185985700001,-85.74113991,NOT AVAILABLE
59,LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195, PO BOX 780",HALEYVILLE,AL,35565,(205) 485-5113,GENERAL ACUTE CARE,OPEN,34.24191187,-87.5913657999999,NOT AVAILABLE
60,LAUREL OAKS BEHAVIORAL HEALTH CENTER,700 EAST COTTONWOOD ROAD,DOTHAN,AL,36301,(334) 794-7373,PSYCHIATRIC,OPEN,31.2038156400001,-85.38460112,NOT AVAILABLE
61,LAWRENCE MEDICAL CENTER,"202 HOSPITAL STREET, PO BOX 39",MOULTON,AL,35650,(256) 974-2223,GENERAL ACUTE CARE,OPEN,34.48341465,-87.28531044,NOT AVAILABLE
62,MADISON HOSPITAL,8375 HIGHWAY 72 WEST,MADISON,AL,35758,(256) 817-2012,GENERAL ACUTE CARE,OPEN,34.7470600400001,-86.7645278799999,NOT AVAILABLE
63,MARSHALL MEDICAL CENTERS NORTH CAMPUS,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,(256) 894-6733,GENERAL ACUTE CARE,OPEN,34.3649133500001,-86.42135153,LEVEL III
64,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,"2505 US HIGHWAY 431 SOUTH, PO DRAWER 758",BOAZ,AL,35957,(256) 894-6733,GENERAL ACUTE CARE,OPEN,34.2214658500001,-86.1606281699999,LEVEL III
65,MARY S. HARPER GERIATRIC PSYCHIATRY CENTER,"201 UNIVERSITY BOULEVARD, PO BOX 21231",TUSCALOOSA,AL,35402,(205) 759-0900,PSYCHIATRIC,OPEN,33.2190660000001,-87.533981,NOT AVAILABLE
66,MEDICAL CENTER BARBOUR,820 WEST WASHINGTON STREET,EUFAULA,AL,36027,(334) 688-7132,GENERAL ACUTE CARE,OPEN,31.8886450800001,-85.1564054199999,LEVEL III
67,MEDICAL CENTER ENTERPRISE,400 NORTH EDWARDS STREET,ENTERPRISE,AL,36330,(334) 393-8772,GENERAL ACUTE CARE,OPEN,31.3187724000001,-85.85536974,LEVEL III
68,"MEDICAL WEST HOSPITAL AUTHORITY, AN AFFILIATE OF UAB HEALTH SYSTEM",995 NINTH AVENUE SOUTHWEST,BESSEMER,AL,35022,(205) 481-7000,GENERAL ACUTE CARE,OPEN,33.3718483100001,-86.99074849,LEVEL III
69,MIZELL MEMORIAL HOSPITAL,"702 MAIN STREET, PO BOX 1010",OPP,AL,36467,(334) 493-9112,GENERAL ACUTE CARE,OPEN,31.29195824,-86.25452692,LEVEL III
70,MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE, PO BOX 2144",MOBILE,AL,36607,(251) 435-4700,GENERAL ACUTE CARE,OPEN,30.6957249600001,-88.07977619,LEVEL III
71,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, PO BOX 886",MONROEVILLE,AL,36460,(251) 743-7477,GENERAL ACUTE CARE,OPEN,31.4978172,-87.32076663,LEVEL III
72,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY,GADSDEN,AL,35904,(256) 546-9265,PSYCHIATRIC,OPEN,34.07242575,-86.0197660699999,NOT AVAILABLE
73,"NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR, PO BOX 1578",ANNISTON,AL,36202,(256) 741-6141,LONG TERM CARE,OPEN,33.6556551900001,-85.82323962,LEVEL III
74,"NOLAND HOSPITAL BIRMINGHAM II, LLC","50 MEDICAL PARK EAST DRIVE, 8TH FLOOR, PO BOX 610306",BIRMINGHAM,AL,35261,(205) 838-5100,LONG TERM CARE,OPEN,33.4149192100001,-86.68602206,NOT AVAILABLE
75,"NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR, PO BOX 6845",DOTHAN,AL,36302,(334) 699-4300,LONG TERM CARE,OPEN,31.21628917,-85.36294421,NOT AVAILABLE
76,"NOLAND HOSPITAL MONTGOMERY II, LLC","1725 PINE STREET, 5TH FLOOR, NORTH WING, PO BOX 11649",MONTGOMERY,AL,36106,(205) 783-8444,LONG TERM CARE,OPEN,32.3669693300001,-86.2857900499999,LEVEL III
77,"NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BLVD EAST, 4TH FLOOR",TUSCALOOSA,AL,35401,(205) 759-7241,LONG TERM CARE,OPEN,33.2051744500001,-87.52636438,NOT AVAILABLE
78,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,(256) 629-1000,GENERAL ACUTE CARE,OPEN,34.8050981600001,-87.65082721,LEVEL III
79,NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET ST, 2ND FLOOR",ATHENS,AL,35611,(256) 262-6767,LONG TERM CARE,OPEN,34.80424558,-86.9788726,NOT AVAILABLE
80,NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE, PO BOX 1409",BAY MINETTE,AL,36507,(251) 937-5521,GENERAL ACUTE CARE,OPEN,30.9039343600001,-87.7850225,LEVEL III
81,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,(205) 921-6202,GENERAL ACUTE CARE,OPEN,34.1259771800001,-87.9907687799999,NOT AVAILABLE
82,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET, PO BOX 2208",ANNISTON,AL,36202,(256) 235-5121,GENERAL ACUTE CARE,OPEN,33.65557526,-85.82324214,LEVEL III
83,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NORTHPORT,AL,35476,(205) 759-7147,GENERAL ACUTE CARE,OPEN,33.23398145,-87.5709108999999,NOT AVAILABLE
84,NORTHWEST MEDICAL CENTER,1530 U S HWY 43,WINFIELD,AL,35594,(205) 487-7787,GENERAL ACUTE CARE,OPEN,33.93053767,-87.82452474,LEVEL III
85,PRATTVILLE BAPTIST HOSPITAL,124 SOUTH MEMORIAL DRIVE,PRATTVILLE,AL,36067,(334) 361-4267,GENERAL ACUTE CARE,OPEN,32.46389172,-86.45225293,NOT AVAILABLE
86,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SW,BIRMINGHAM,AL,35211,(205) 820-5930,GENERAL ACUTE CARE,OPEN,33.4980065300001,-86.84718778,LEVEL III
87,PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD, PO BOX 850429",MOBILE,AL,36685,(251) 266-1600,GENERAL ACUTE CARE,OPEN,30.6793276600001,-88.1990793699999,LEVEL III
88,RED BAY HOSPITAL,"211 HOSPITAL ROAD, PO BOX 490",RED BAY,AL,35582,(256) 356-9532,CRITICAL ACCESS,OPEN,34.45810576,-88.14732506,NOT AVAILABLE
89,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 LV STABLER DRIVE,GREENVILLE,AL,36037,(334) 383-2200,GENERAL ACUTE CARE,OPEN,31.8290344000001,-86.6463641999999,LEVEL III
90,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,(334) 732-2200,REHABILITATION,OPEN,32.49884817,-85.04640733,NOT AVAILABLE
91,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,(256) 543-5277,GENERAL ACUTE CARE,OPEN,34.00432554,-86.00342706,LEVEL III
92,RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280, PO BOX 939",ALEXANDER CITY,AL,35010,(256) 329-7146,GENERAL ACUTE CARE,OPEN,32.93021327,-85.9695661499999,LEVEL III
93,RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43, PO BOX 1089",RUSSELLVILLE,AL,35653,(256) 332-8676,GENERAL ACUTE CARE,OPEN,34.5108181200001,-87.71838607,LEVEL III
94,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",BIRMINGHAM,AL,35209,(205) 599-4595,LONG TERM CARE,OPEN,33.4637309400001,-86.77625339,LEVEL III
95,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,(205) 820-5930,GENERAL ACUTE CARE,OPEN,33.2523648700001,-86.8130430099999,LEVEL III
96,SHOALS HOSPITAL,"201 W AVALON AVENUE, PO BOX 3359",MUSCLE SHOALS,AL,35661,(256) 386-1701,GENERAL ACUTE CARE,OPEN,34.7471929600001,-87.67621342,NOT AVAILABLE
97,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,(251) 949-3400,GENERAL ACUTE CARE,OPEN,30.42583568,-87.6846856499999,LEVEL III
98,SOUTHEAST HEALTH MEDICAL CENTER,"1108 ROSS CLARK CIRCLE, PO BOX 6987",DOTHAN,AL,36301,(334) 793-8701,GENERAL ACUTE CARE,OPEN,31.21630365,-85.36363112,LEVEL II
99,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,(251) 460-5220,GENERAL ACUTE CARE,OPEN,30.6845174900001,-88.13133629,LEVEL III
100,ST. VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,(205) 939-7230,GENERAL ACUTE CARE,OPEN,33.5074771700001,-86.78912153,LEVEL III
101,ST. VINCENT'S BLOUNT,"150 GILBREATH DRIVE, PO BOX 1000",ONEONTA,AL,35121,(205) 274-3000,CRITICAL ACCESS,OPEN,33.92965073,-86.4941186299999,NOT AVAILABLE
102,ST. VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35046,(205) 258-4400,GENERAL ACUTE CARE,OPEN,32.8802860000001,-86.62279,NOT AVAILABLE
103,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,(205) 838-3182,GENERAL ACUTE CARE,OPEN,33.59615452,-86.66761102,LEVEL III
104,ST. VINCENT'S ST.CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,(205) 338-3301,GENERAL ACUTE CARE,OPEN,33.6039924200001,-86.30223929,NOT AVAILABLE
105,STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH STREET, PO BOX 38",ANNISTON,AL,36207,(256) 235-8906,GENERAL ACUTE CARE,OPEN,33.6682359000001,-85.82371273,LEVEL III
106,TANNER MEDICAL CENTER - EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,(256) 357-2111,CRITICAL ACCESS,OPEN,33.295332,-85.480689,NOT AVAILABLE
107,THOMAS HOSPITAL,"750 MORPHY AVENUE, PO DRAWER 929",FAIRHOPE,AL,36532,(251) 279-1501,GENERAL ACUTE CARE,OPEN,30.5188790300001,-87.88944744,LEVEL III
108,THOMASVILLE REGIONAL MEDICAL CENTER,300 MEDICAL PARK DRIVE,THOMASVILLE,AL,36784,(334) 636-2525,GENERAL ACUTE CARE,OPEN,31.8761846,-87.745143,NOT AVAILABLE
109,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,(334) 670-5000,GENERAL ACUTE CARE,OPEN,31.7815156500001,-85.94556625,LEVEL III
110,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,(205) 554-2000,MILITARY,OPEN,33.1899356700001,-87.48831785,NOT AVAILABLE
111,UAB CALLAHAN EYE HOSPITAL AUTHORITY,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233,(205) 325-8629,SPECIAL,OPEN,33.5040061,-86.80289191,NOT AVAILABLE
112,UNITY PSYCHIATRIC CARE - HUNTSVILLE,5315 MILLENNIUM DRIVE,HUNTSVILLE,AL,35806,(256) 964-6700,PSYCHIATRIC,OPEN,34.75317024,-86.66569635,NOT AVAILABLE
113,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH NINETEENTH STREET,BIRMINGHAM,AL,35233,(205) 934-4444,GENERAL ACUTE CARE,OPEN,33.5056032900001,-86.8020354,LEVEL I
114,USA HEALTH CHILDREN'S AND WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,(251) 405-9969,CHILDREN,OPEN,30.6976838200001,-88.0778076399999,LEVEL III
115,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,(251) 434-3987,GENERAL ACUTE CARE,OPEN,30.70706198,-88.09833486,LEVEL I
116,VAUGHAN REGIONAL MEDICAL CENTER - PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,(334) 418-4197,GENERAL ACUTE CARE,OPEN,32.42946521,-87.05597305,NOT AVAILABLE
117,WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78, EAST, PO BOX 3547",JASPER,AL,35502,(205) 820-5930,GENERAL ACUTE CARE,OPEN,33.8427289000001,-87.2359995799999,LEVEL III
118,WASHINGTON COUNTY HOSPITAL,"14600 ST STEPHENS AVENUE, PO BOX 1299",CHATOM,AL,36518,(251) 847-2223,CRITICAL ACCESS,OPEN,31.4595381500001,-88.23507989,NOT AVAILABLE
119,WHITFIELD REGIONAL HOSPITAL,105 US HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,(334) 289-4000,GENERAL ACUTE CARE,OPEN,32.50478853,-87.8363988,LEVEL III
120,WIREGRASS MEDICAL CENTER,1200 WEST MAPLE AVENUE,GENEVA,AL,36340,(334) 684-3655,GENERAL ACUTE CARE,OPEN,31.04879399,-85.89253669,NOT AVAILABLE
121,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,(907) 276-1131,GENERAL ACUTE CARE,OPEN,61.21073914,-149.82898817,NOT AVAILABLE
122,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,(907) 796-8900,GENERAL ACUTE CARE,OPEN,58.32907951,-134.46515263,LEVEL IV
123,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,(907) 714-4404,GENERAL ACUTE CARE,OPEN,60.4931690500001,-151.07782696,LEVEL II
124,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES ST,FAIRBANKS,AK,99701,(907) 452-8181,GENERAL ACUTE CARE,OPEN,64.8317447100001,-147.73939282,LEVEL IV
125,MAT - SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,(907) 861-6792,GENERAL ACUTE CARE,OPEN,61.56289358,-149.25831116,LEVEL IV
126,MAT - SU REGIONAL OUTPATIENT CENTER,950 E BOGARD,WASILLA,AK,99654,(907) 352-2860,GENERAL ACUTE CARE,OPEN,61.5864231,-149.4270914,NOT AVAILABLE
